taxa_in_original_tree	species	total	rbcL	matK	rps16	ndhF	5.8S-ribosomal-RNA	contains-trnT-trnL-intergenic-spacer,-tRNA-Leu-(trnL),-trnL-trnF-intergenic-spacer,-and-tRNA-Phe-(trnF)
Solanales	Solanum mauritianum	2	NA	EF439031	NA	AF500843	NA	NA
Solanales	Solanum aviculare	2	AF397077	NA	NA	U47418	NA	NA
Solanales	Solanum lepidotum	2	NA	GQ982099	NA	AF500838	NA	NA
Solanales	Solanum furfuraceum	2	NA	EF439023	NA	AF500829	NA	NA
Solanales	Solanum cordovense	2	NA	JQ589248	NA	U72751	NA	NA
Solanales	Solanum ferocissimum	2	NA	EF439022	NA	AF500827	NA	NA
Solanales	Salpiglossis sinuata	2	NA	EF439055	NA	U08928	NA	NA
Solanales	Lycium sandwicense	2	NA	AB036646	NA	EU580909	NA	NA
Solanales	Nicotiana maritima	2	NA	AJ585884	NA	AJ585945	NA	NA
Solanales	Nicotiana rotundifolia	2	NA	AJ585886	NA	AJ585947	NA	NA
Solanales	Nicotiana occidentalis	2	NA	AJ585889	NA	AJ585950	NA	NA
Solanales	Petunia altiplana	2	NA	AB262052	NA	NA	AY772825	NA
Solanales	Dinetus racemosus	2	NA	NA	HQ385197	HQ384856	NA	NA
Solanales	Nolana paradoxa	2	NA	EF438866	NA	EU580919	NA	NA
Solanales	Hyoscyamus albus	2	NA	HM851096	NA	HQ216087	NA	NA
Solanales	Hyoscyamus aureus	2	NA	EF438841	NA	HQ216085	NA	NA
Solanales	Symonanthus bancroftii	2	NA	AJ585879	NA	AY098724	NA	NA
Solanales	Nicotiana arentsii	2	NA	AJ585844	NA	AJ585911	NA	NA
Solanales	Nicotiana megalosiphon	2	NA	AJ585855	NA	AJ585939	NA	NA
Solanales	Nicotiana cavicola	2	NA	AB040016	NA	AJ585938	NA	NA
Solanales	Nicotiana velutina	2	NA	AJ585887	NA	AJ585948	NA	NA
Solanales	Solanum trisectum	2	NA	EF438874	NA	AF224063	NA	NA
Solanales	Solanum sisymbriifolium	2	NA	EF439071	NA	AF500862	NA	NA
Solanales	Physalis philadelphica	2	NA	EF438970	NA	EU580929	NA	NA
Solanales	Evolvulus pilosus	2	NA	HQ384566	NA	HQ384853	NA	NA
Solanales	Physochlaina orientalis	2	NA	EF439015	NA	EU580931	NA	NA
Solanales	Petunia bonjardinensis	2	NA	AB262057	NA	NA	AY772826	NA
Solanales	Petunia reitzii	2	NA	AB262067	NA	NA	AY772829	NA
Solanales	Petunia saxicola	2	NA	AB262069	NA	NA	AY772830	NA
Solanales	Petunia mantiqueirensis	2	NA	AB262065	NA	NA	AY772828	NA
Solanales	Calibrachoa parviflora	2	NA	EF438982	NA	EU580869	NA	NA
Solanales	Margaranthus solanaceus	2	NA	EF438850	NA	EU580912	NA	NA
Solanales	Nolana albescens	2	NA	AB036647	NA	EU742309	NA	NA
Solanales	Nolana rostrata	2	NA	AB036648	NA	EU742353	NA	NA
Solanales	Nicotiana debneyi	2	NA	AB040017	NA	AJ585900	NA	NA
Solanales	Nicotiana stocktonii	2	NA	AB040005	NA	AJ585922	NA	NA
Solanales	Nicotiana goodspeedii	2	NA	AJ585890	NA	AJ585951	NA	NA
Solanales	Nicotiana africana	2	NA	AJ585881	NA	AJ585943	NA	NA
Solanales	Solanum delagoense	2	HM016269	NA	HM016397	NA	NA	NA
Solanales	Solanum macrocarpon	2	NA	EF439061	NA	AF224068	NA	NA
Solanales	Physalis heterophylla	2	NA	HQ593385	NA	EU580927	NA	NA
Solanales	Physochlaina physaloides	2	NA	EF439017	NA	HQ216106	NA	NA
Solanales	Schizanthus grahamii	2	NA	EF439051	NA	EU580939	NA	NA
Solanales	Nicotiana nesophila	2	NA	AJ585854	NA	AJ585937	NA	NA
Solanales	Nicotiana acaulis	2	NA	AB039985	NA	AJ585918	NA	NA
Solanales	Nicotiana thyrsiflora	2	NA	AJ585888	NA	AJ585949	NA	NA
Solanales	Solanum cinereum	2	NA	EU983575	NA	AF500813	NA	NA
Solanales	Anisodus luridus	2	NA	EF438901	NA	EU580856	NA	NA
Solanales	Cestrum elegans	2	NA	AJ585891	NA	AJ585952	NA	NA
Solanales	Iochroma australe	2	NA	EF438902	NA	EU580892	NA	NA
Solanales	Nicotiana knightiana	2	NA	AB039989	NA	AJ585913	NA	NA
Solanales	Nicotiana solanifolia	2	NA	AB039990	NA	AJ585929	NA	NA
Solanales	Nicotiana suaveolens	2	NA	AJ585842	NA	AJ585907	NA	NA
Solanales	Nicotiana clevelandii	2	NA	AJ585850	NA	AJ585925	NA	NA
Solanales	Nicotiana nudicaulis	2	NA	AB040013	NA	AJ585909	NA	NA
Solanales	Nicotiana raimondii	2	NA	AJ585840	NA	AJ585905	NA	NA
Solanales	Nicotiana benavidesii	2	NA	AB039991	NA	AJ585899	NA	NA
Solanales	Nicotiana wigandioides	2	NA	AJ585843	NA	AJ585908	NA	NA
Solanales	Solanum accrescens	2	NA	JQ589239	NA	AF500795	NA	NA
Solanales	Nicotiana kawakamii	2	NA	AJ585845	NA	AJ585912	NA	NA
Solanales	Nicotiana palmeri	2	NA	AJ585838	NA	AJ585903	NA	NA
Solanales	Nicotiana corymbosa	2	NA	AJ585852	NA	AJ585927	NA	NA
Solanales	Nicotiana pauciflora	2	NA	AJ585839	NA	AJ585904	NA	NA
Solanales	Humbertia madagascariensis	2	NA	EU330288	NA	HQ384857	NA	NA
Solanales	Solanum betaceum	2	NA	EF438983	NA	U47428	NA	NA
Solanales	Solanum lichtensteinii	2	NA	JF270942	HM016393	NA	NA	NA
Solanales	Solanum tridynamum	2	NA	EF439036	NA	AF500867	NA	NA
Solanales	Solanum jamaicense	2	NA	GU135067	NA	AF224073	NA	NA
Solanales	Solanum laciniatum	2	NA	EF439045	NA	U47420	NA	NA
Solanales	Physalis peruviana	2	NA	EF438899	NA	EU580928	NA	NA
Solanales	Jacquemontia tamnifolia	2	NA	EU330286	NA	AY936337	NA	NA
Solanales	Nolana humifusa	2	NA	EF438984	NA	FJ914024	NA	NA
Solanales	Mandragora officinarum	2	NA	AJ585883	NA	U08922	NA	NA
Solanales	Nicotiana cordifolia	2	NA	AJ585851	NA	AJ585926	NA	NA
Solanales	Nicotiana tomentosa	2	NA	AB039993	NA	AJ585917	NA	NA
Solanales	Nicotiana linearis	2	NA	AB040011	NA	AJ585902	NA	NA
Solanales	Solanum campylacanthum	2	HM016268	NA	HM016398	NA	NA	NA
Solanales	Solanum incanum	2	HM016266	NA	HM016395	NA	NA	NA
Solanales	Physalis alkekengi	2	NA	EF438921	NA	U08927	NA	NA
Solanales	Nicotiana miersii	2	NA	AJ585848	NA	AJ585919	NA	NA
Solanales	Solanum linnaeanum	2	HM016261	EF439042	NA	NA	NA	NA
Solanales	Lycium pallidum	2	NA	AB036642	NA	EU580908	NA	NA
Solanales	Witheringia solanacea	2	NA	EF438879	NA	U72755	NA	NA
Solanales	Convolvulus arvensis	2	NA	HM850893	NA	AJ236243	NA	NA
Solanales	Nicotiana acuminata	2	NA	AJ585849	NA	U08923	NA	NA
Solanales	Capsicum baccatum	2	NA	AB721660	NA	U08916	NA	NA
Solanales	Hyoscyamus niger	2	NA	JN895452	NA	HQ216089	NA	NA
Solanales	Nicotiana repanda	2	NA	AB040004	NA	AJ585923	NA	NA
Solanales	Lycium americanum	2	NA	AB036627	NA	HQ216094	NA	NA
Solanales	Nicotiana paniculata	2	NA	AB039988	NA	AY098728	NA	NA
Solanales	Nicotiana rustica	2	NA	EF438871	NA	AJ585935	NA	NA
Solanales	Solanum pinnatisectum	2	NA	EF439065	NA	AF500850	NA	NA
Solanales	Nicotiana otophora	2	NA	AJ585846	NA	AJ585914	NA	NA
Solanales	Nicotiana undulata	2	NA	AB039996	NA	AJ585915	NA	NA
Solanales	Nicotiana noctiflora	2	NA	AM889733	NA	AJ585920	NA	NA
Solanales	Nicotiana petunioides	2	NA	AB040008	NA	AJ585921	NA	NA
Solanales	Solanum torvum	2	NA	JN407213	NA	L76286	NA	NA
Solanales	Atropa belladonna	2	NA	EF438839	NA	EU580859	NA	NA
Solanales	Solanum panduriforme	2	NA	EU214287	HM016396	NA	NA	NA
Solanales	Lycium cestroides	2	NA	AB036636	NA	U08920	NA	NA
Solanales	Lycium chinense	2	NA	AB036637	NA	FJ914028	NA	NA
Solanales	Nicotiana glauca	2	NA	EF438826	NA	AJ585910	NA	NA
Solanales	Withania somnifera	2	NA	EF439084	NA	EU580952	NA	NA
Solanales	Nicotiana glutinosa	2	NA	AB039995	NA	AY098726	NA	NA
Solanales	Lycium barbarum	2	NA	AB036630	NA	EU580907	NA	NA
Solanales	Solanum dulcamara	2	NA	FN668838	NA	U47419	NA	NA
Solanales	Capsicum annuum	2	NA	EF438833	EU366158	NA	NA	NA
Solanales	Solanum lycopersicum	2	AF397080	NA	NA	U08921	NA	NA
Solanales	Capsicum campylopodium	1	NA	EF537295	NA	NA	NA	NA
Solanales	Capsicum lycianthoides	1	NA	NA	NA	DQ667542	NA	NA
Solanales	Dyssochroma viridiflora	1	NA	NA	NA	EU580878	NA	NA
Solanales	Schultesianthus leucanthus	1	NA	NA	NA	EU580940	NA	NA
Solanales	Nierembergia veitchii	1	NA	DQ995350	NA	NA	NA	NA
Solanales	Nierembergia frutescens	1	NA	EF438948	NA	NA	NA	NA
Solanales	Brunfelsia picardae	1	NA	NA	NA	JQ081163	NA	NA
Solanales	Brunfelsia macrocarpa	1	NA	NA	NA	JQ081154	NA	NA
Solanales	Brunfelsia dwyeri	1	NA	NA	NA	JQ081142	NA	NA
Solanales	Brunfelsia shaferi	1	NA	NA	NA	JQ081168	NA	NA
Solanales	Brunfelsia plowmaniana	1	NA	NA	NA	JQ081175	NA	NA
Solanales	Brunfelsia imatacana	1	NA	NA	NA	JQ081148	NA	NA
Solanales	Brunfelsia acunae	1	NA	NA	NA	JQ081125	NA	NA
Solanales	Brunfelsia purpurea	1	NA	NA	NA	JQ081167	NA	NA
Solanales	Brunfelsia cestroides	1	NA	NA	NA	JQ081136	NA	NA
Solanales	Brunfelsia maliformis	1	NA	NA	NA	JQ081156	NA	NA
Solanales	Brunfelsia mire	1	NA	NA	NA	JQ081158	NA	NA
Solanales	Brunfelsia martiana	1	NA	NA	NA	JQ081157	NA	NA
Solanales	Brunfelsia chiricaspi	1	NA	NA	NA	JQ081137	NA	NA
Solanales	Brunfelsia australis	1	NA	NA	NA	JQ081129	NA	NA
Solanales	Brunfelsia sinuata	1	NA	NA	NA	JQ081170	NA	NA
Solanales	Brunfelsia linearis	1	NA	NA	NA	JQ081153	NA	NA
Solanales	Brunfelsia guianensis	1	NA	NA	NA	JQ081143	NA	NA
Solanales	Brunfelsia clandestina	1	NA	NA	NA	JQ081138	NA	NA
Solanales	Brunfelsia pluriflora	1	NA	NA	NA	JQ081164	NA	NA
Solanales	Brunfelsia clarensis	1	NA	NA	NA	JQ081139	NA	NA
Solanales	Brunfelsia hydrangeiformis	1	NA	NA	NA	JQ081146	NA	NA
Solanales	Brunfelsia boliviana	1	NA	NA	NA	JQ081131	NA	NA
Solanales	Brunfelsia nitida	1	NA	NA	NA	JQ081160	NA	NA
Solanales	Brunfelsia macroloba	1	NA	NA	NA	JQ081155	NA	NA
Solanales	Markea panamensis	1	NA	NA	NA	EU580884	NA	NA
Solanales	Coeloneurum ferrugineum	1	NA	NA	NA	AY206742	NA	NA
Solanales	Datura leichhardtii	1	NA	NA	NA	EU580874	NA	NA
Solanales	Henoonia myrtifolia	1	NA	NA	NA	AY206747	NA	NA
Solanales	Lycianthes amatitlanensis	1	NA	NA	NA	DQ667548	NA	NA
Solanales	Brugmansia sanguinea	1	NA	NA	NA	EU580867	NA	NA
Solanales	Hyoscyamus desertorum	1	NA	NA	NA	EU580889	NA	NA
Solanales	Hyoscyamus boveanus	1	NA	NA	NA	EU580888	NA	NA
Solanales	Witheringia mexicana	1	NA	NA	NA	EU580953	NA	NA
Solanales	Schwenckia americana	1	NA	EF439053	NA	NA	NA	NA
Solanales	Larnax subtriflora	1	NA	NA	NA	EU580902	NA	NA
Solanales	Browallia speciosa	1	NA	NA	NA	AY206739	NA	NA
Solanales	Nicotiana fragrans	1	NA	AB040023	NA	NA	NA	NA
Solanales	Nicotiana simulans	1	NA	AB040020	NA	NA	NA	NA
Solanales	Solanum clandestinum	1	NA	NA	NA	DQ392957	NA	NA
Solanales	Solanum inelegans	1	NA	NA	NA	AF500833	NA	NA
Solanales	Solanum aggregatum	1	NA	NA	NA	AF500798	NA	NA
Solanales	Solanum racemosum	1	NA	EF439033	NA	NA	NA	NA
Solanales	Solanum riojense	1	NA	NA	NA	AF500856	NA	NA
Solanales	Solanum diphyllum	1	NA	GU134970	NA	NA	NA	NA
Solanales	Solanum stramoniifolium	1	NA	NA	NA	AF500863	NA	NA
Solanales	Solanum doddsii	1	NA	NA	NA	AF500822	NA	NA
Solanales	Solanum ipomoeoides	1	NA	NA	NA	AF500834	NA	NA
Solanales	Solanum pubigerum	1	NA	NA	NA	AF500853	NA	NA
Solanales	Solanum tequilense	1	NA	EF439035	NA	NA	NA	NA
Solanales	Solanum aligerum	1	NA	NA	NA	AF500799	NA	NA
Solanales	Solanum calileguae	1	NA	NA	NA	AF500806	NA	NA
Solanales	Solanum asperum	1	NA	GQ982096	NA	NA	NA	NA
Solanales	Solanum caesium	1	NA	NA	NA	AF500805	NA	NA
Solanales	Solanum delitescens	1	NA	NA	NA	AF500821	NA	NA
Solanales	Solanum ochrophyllum	1	NA	NA	NA	AF500848	NA	NA
Solanales	Solanum seaforthianum	1	NA	NA	NA	U47425	NA	NA
Solanales	Solanum fiebrigii	1	NA	NA	NA	AF500828	NA	NA
Solanales	Solanum triflorum	1	NA	NA	NA	AF500868	NA	NA
Solanales	Solanum hispidum	1	NA	EF439027	NA	NA	NA	NA
Solanales	Solanum pittosporifolium	1	NA	JF956499	NA	NA	NA	NA
Solanales	Solanum havanense	1	NA	NA	NA	AF500830	NA	NA
Solanales	Solanum amygdalifolium	1	NA	NA	NA	AF500800	NA	NA
Solanales	Solanum hayesii	1	NA	GQ982098	NA	NA	NA	NA
Solanales	Solanum crispum	1	NA	NA	NA	AF500819	NA	NA
Solanales	Physalis divaricata	1	NA	JX996066	NA	NA	NA	NA
Solanales	Jaltomata sinuosa	1	NA	NA	NA	EU580900	NA	NA
Solanales	Jaltomata hunzikeri	1	NA	EF438939	NA	NA	NA	NA
Solanales	Jaltomata repandidentata	1	NA	JQ589228	NA	NA	NA	NA
Solanales	Jaltomata grandiflora	1	NA	NA	NA	EU580899	NA	NA
Solanales	Goetzea ekmanii	1	NA	NA	NA	AY206745	NA	NA
Solanales	Evolvulus alsinoides	1	NA	JQ587282	NA	NA	NA	NA
Solanales	Physochlaina infundibularis	1	NA	NA	NA	EU580930	NA	NA
Solanales	Ipomoea indica	1	NA	FJ795792	NA	NA	NA	NA
Solanales	Ipomoea imperati	1	NA	HM850896	NA	NA	NA	NA
Solanales	Ipomoea cairica	1	NA	FJ795793	NA	NA	NA	NA
Solanales	Capsicum minutiflorum	1	NA	NA	NA	DQ667543	NA	NA
Solanales	Protoschwenkia mandonii	1	NA	NA	NA	EU580934	NA	NA
Solanales	Anthocercis myosotidea	1	NA	AJ585874	NA	NA	NA	NA
Solanales	Brunfelsia densifolia	1	NA	NA	NA	JQ081141	NA	NA
Solanales	Brunfelsia grandiflora	1	NA	NA	NA	JQ081145	NA	NA
Solanales	Brunfelsia lactea	1	NA	NA	NA	JQ081151	NA	NA
Solanales	Brunfelsia jamaicensis	1	NA	NA	NA	JQ081150	NA	NA
Solanales	Lycium afrum	1	NA	AB036625	NA	NA	NA	NA
Solanales	Lycium schizocalyx	1	NA	AB036622	NA	NA	NA	NA
Solanales	Lycium pilifolium	1	NA	AB036621	NA	NA	NA	NA
Solanales	Merremia tuberosa	1	NA	GU135052	NA	NA	NA	NA
Solanales	Nolana spergularioides	1	NA	NA	NA	FJ914025	NA	NA
Solanales	Dichondra carolinensis	1	NA	EU330287	NA	NA	NA	NA
Solanales	Lycianthes inaequilatera	1	NA	NA	NA	DQ667561	NA	NA
Solanales	Leucophysalis nana	1	NA	NA	NA	EU580906	NA	NA
Solanales	Espadaea amoena	1	NA	NA	NA	AY206744	NA	NA
Solanales	Witheringia macrantha	1	NA	NA	NA	EU126019	NA	NA
Solanales	Witheringia coccoloboides	1	NA	EF438981	NA	NA	NA	NA
Solanales	Witheringia meiantha	1	NA	NA	NA	EU126020	NA	NA
Solanales	Oryctes nevadensis	1	NA	NA	NA	EU580923	NA	NA
Solanales	Cestrum diurnum	1	NA	GU135071	NA	NA	NA	NA
Solanales	Streptosolen jamesonii	1	NA	NA	NA	EU580948	NA	NA
Solanales	Iochroma cardenasianum	1	NA	NA	NA	EU580893	NA	NA
Solanales	Larnax sylvarum	1	NA	NA	NA	EU126022	NA	NA
Solanales	Nicotiana umbratica	1	NA	AB040015	NA	NA	NA	NA
Solanales	Chamaesaracha sordida	1	NA	NA	NA	EU580872	NA	NA
Solanales	Solanum chippendalei	1	NA	EU983562	NA	NA	NA	NA
Solanales	Solanum tudununggae	1	NA	EU983552	NA	NA	NA	NA
Solanales	Solanum circinatum	1	NA	GQ982097	NA	NA	NA	NA
Solanales	Solanum herculeum	1	NA	NA	NA	AF224065	NA	NA
Solanales	Solanum villosum	1	NA	NA	NA	AF224066	NA	NA
Solanales	Solanum muricatum	1	NA	NA	NA	AF500846	NA	NA
Solanales	Solanum dioicum	1	NA	JN098478	NA	NA	NA	NA
Solanales	Solanum spirale	1	NA	JF956501	NA	NA	NA	NA
Solanales	Solanum oedipus	1	NA	EU983566	NA	NA	NA	NA
Solanales	Solanum stupefactum	1	NA	EU983572	NA	NA	NA	NA
Solanales	Solanum turneroides	1	NA	NA	NA	AF500869	NA	NA
Solanales	Solanum adscendens	1	NA	NA	NA	AF500796	NA	NA
Solanales	Solanum hoplopetalum	1	NA	EU983571	NA	NA	NA	NA
Solanales	Solanum nitidum	1	NA	NA	NA	AF224075	NA	NA
Solanales	Solanum amotapense	1	NA	EF439041	NA	NA	NA	NA
Solanales	Solanum petraeum	1	NA	EU983559	NA	NA	NA	NA
Solanales	Solanum appendiculatum	1	NA	NA	NA	AF224062	NA	NA
Solanales	Solanum leopoldense	1	NA	EU983560	NA	NA	NA	NA
Solanales	Solanum carduiforme	1	NA	EU983558	NA	NA	NA	NA
Solanales	Solanum heteropodium	1	NA	EU983567	NA	NA	NA	NA
Solanales	Solanum tripartitum	1	NA	NA	NA	U72750	NA	NA
Solanales	Solanum trilobatum	1	NA	JX511982	NA	NA	NA	NA
Solanales	Physalis ignota	1	NA	JQ589235	NA	NA	NA	NA
Solanales	Physalis carpenteri	1	NA	NA	NA	EU580926	NA	NA
Solanales	Hunzikeria texana	1	NA	NA	NA	EU580886	NA	NA
Solanales	Ipomoea hederifolia	1	NA	FJ795791	NA	NA	NA	NA
Solanales	Quincula lobata	1	NA	NA	NA	EU580936	NA	NA
Solanales	Brunfelsia pauciflora	1	NA	NA	NA	JQ081162	NA	NA
Solanales	Lycium morongii	1	NA	AB036641	NA	NA	NA	NA
Solanales	Lycium ameghinoi	1	NA	AB036626	NA	NA	NA	NA
Solanales	Merremia aegyptia	1	NA	JQ587306	NA	NA	NA	NA
Solanales	Calystegia soldanella	1	NA	JN894768	NA	NA	NA	NA
Solanales	Dunalia solanacea	1	NA	NA	NA	EU580877	NA	NA
Solanales	Nolana tarapacana	1	NA	NA	NA	EU742362	NA	NA
Solanales	Nolana gracillima	1	NA	NA	NA	FJ914026	NA	NA
Solanales	Nolana pallidula	1	NA	NA	NA	FJ914003	NA	NA
Solanales	Nolana revoluta	1	NA	NA	NA	FJ914004	NA	NA
Solanales	Nolana willeana	1	NA	NA	NA	FJ914006	NA	NA
Solanales	Nolana tovariana	1	NA	NA	NA	FJ914011	NA	NA
Solanales	Bouchetia erecta	1	NA	NA	NA	EU580863	NA	NA
Solanales	Hewittia sublobata	1	NA	FJ795796	NA	NA	NA	NA
Solanales	Vassobia dichotoma	1	NA	NA	NA	EU126017	NA	NA
Solanales	Cestrum tomentosum	1	NA	NA	NA	EU126009	NA	NA
Solanales	Acnistus arborescens	1	NA	NA	NA	EU580855	NA	NA
Solanales	Saracha punctata	1	NA	NA	NA	EU580938	NA	NA
Solanales	Iochroma umbellatum	1	NA	NA	NA	EU580895	NA	NA
Solanales	Solandra grandiflora	1	NA	NA	NA	U08930	NA	NA
Solanales	Chamaesaracha coronopus	1	NA	NA	NA	EU580871	NA	NA
Solanales	Solanum toliaraea	1	NA	NA	NA	AF500866	NA	NA
Solanales	Solanum sejunctum	1	NA	EU983569	NA	NA	NA	NA
Solanales	Solanum hindsianum	1	NA	NA	NA	AF500831	NA	NA
Solanales	Solanum diversiflorum	1	NA	EU983563	NA	NA	NA	NA
Solanales	Solanum diploconos	1	NA	NA	NA	AY049014	NA	NA
Solanales	Solanum prinophyllum	1	NA	NA	NA	AF500852	NA	NA
Solanales	Solanum schimperianum	1	NA	NA	NA	AF500860	NA	NA
Solanales	Solanum sandwicense	1	NA	NA	NA	AF500859	NA	NA
Solanales	Solanum echinatum	1	NA	NA	NA	AF500824	NA	NA
Solanales	Solanum hoehnei	1	NA	NA	NA	AF500832	NA	NA
Solanales	Solanum crinitipes	1	NA	NA	NA	AF500817	NA	NA
Solanales	Solanum abutiloides	1	NA	NA	NA	U47415	NA	NA
Solanales	Solanum catombelense	1	NA	JF270941	NA	NA	NA	NA
Solanales	Solanum chenopodinum	1	NA	NA	NA	AF500812	NA	NA
Solanales	Solanum lasiophyllum	1	NA	EF439029	NA	NA	NA	NA
Solanales	Solanum palitans	1	NA	NA	NA	AF224064	NA	NA
Solanales	Solanum mahoriense	1	NA	NA	NA	AF500841	NA	NA
Solanales	Solanum asymmetriphyllum	1	NA	EU983570	NA	NA	NA	NA
Solanales	Solanum clarkiae	1	NA	EU983564	NA	NA	NA	NA
Solanales	Solanum luteoalbum	1	NA	NA	NA	U72749	NA	NA
Solanales	Solanum argentinum	1	NA	NA	NA	U72752	NA	NA
Solanales	Solanum nemorense	1	NA	NA	NA	AF500847	NA	NA
Solanales	Solanum capsicoides	1	NA	NA	NA	AF500808	NA	NA
Solanales	Solanum montanum	1	NA	NA	NA	AF500844	NA	NA
Solanales	Solanum rostratum	1	NA	NA	NA	U47424	NA	NA
Solanales	Solanum citrullifolium	1	NA	NA	NA	AF500814	NA	NA
Solanales	Solanum allophyllum	1	NA	NA	NA	U47416	NA	NA
Solanales	Solanum rudepannum	1	NA	JQ589578	NA	NA	NA	NA
Solanales	Solanum thelopodium	1	NA	NA	NA	AF500865	NA	NA
Solanales	Solanum lidii	1	NA	NA	NA	AF500839	NA	NA
Solanales	Solanum glaucophyllum	1	NA	NA	NA	U72753	NA	NA
Solanales	Solanum cleistogamum	1	NA	NA	NA	AF500815	NA	NA
Solanales	Solanum conditum	1	NA	NA	NA	AF500816	NA	NA
Solanales	Solanum mapiriense	1	NA	NA	NA	AF500842	NA	NA
Solanales	Solanum giganteum	1	NA	EF439024	NA	NA	NA	NA
Solanales	Solanum chrysotrichum	1	NA	HM851099	NA	NA	NA	NA
Solanales	Solanum campanulatum	1	NA	NA	NA	AF500807	NA	NA
Solanales	Solanum drymophilum	1	NA	NA	NA	AF500823	NA	NA
Solanales	Solanum wendlandii	1	NA	NA	NA	U47427	NA	NA
Solanales	Physalis ixocarpa	1	NA	EF438913	NA	NA	NA	NA
Solanales	Physalis lanceifolia	1	NA	EF438914	NA	NA	NA	NA
Solanales	Physalis aequata	1	NA	EF438925	NA	NA	NA	NA
Solanales	Physalis fuscomaculata	1	NA	EU128754	NA	NA	NA	NA
Solanales	Physalis curassavica	1	NA	EF438881	NA	NA	NA	NA
Solanales	Physalis mendocina	1	NA	EF438844	NA	NA	NA	NA
Solanales	Physalis mexicana	1	NA	EF438845	NA	NA	NA	NA
Solanales	Jaltomata procumbens	1	NA	NA	NA	U47429	NA	NA
Solanales	Jaltomata dentata	1	NA	EF438985	NA	NA	NA	NA
Solanales	Metternichia princeps	1	NA	NA	NA	AY206748	NA	NA
Solanales	Brachistus stramoniifolius	1	NA	NA	NA	EU580864	NA	NA
Solanales	Capsicum rhomboideum	1	NA	EF537291	NA	NA	NA	NA
Solanales	Brunfelsia americana	1	NA	NA	NA	AY206740	NA	NA
Solanales	Nolana intonsa	1	NA	NA	NA	EU742335	NA	NA
Solanales	Nolana sphaerophylla	1	NA	NA	NA	EU742360	NA	NA
Solanales	Nolana weissiana	1	NA	NA	NA	EU742369	NA	NA
Solanales	Nolana balsamiflua	1	NA	NA	NA	EU742315	NA	NA
Solanales	Nolana parviflora	1	NA	NA	NA	EU742347	NA	NA
Solanales	Nolana chancoana	1	NA	NA	NA	EU742318	NA	NA
Solanales	Nolana arequipensis	1	NA	NA	NA	FJ914016	NA	NA
Solanales	Nolana onoana	1	NA	NA	NA	FJ914000	NA	NA
Solanales	Nolana linearifolia	1	NA	NA	NA	EU580918	NA	NA
Solanales	Nolana filifolia	1	NA	NA	NA	EU742327	NA	NA
Solanales	Nolana glauca	1	NA	NA	NA	EU742331	NA	NA
Solanales	Nolana pallida	1	NA	NA	NA	EU742345	NA	NA
Solanales	Nolana urubambae	1	NA	NA	NA	EU742366	NA	NA
Solanales	Nolana volcanica	1	NA	NA	NA	EU742368	NA	NA
Solanales	Nolana lezamae	1	NA	NA	NA	EU742341	NA	NA
Solanales	Nolana chapiensis	1	NA	NA	NA	EU742319	NA	NA
Solanales	Leucophysalis grandiflora	1	NA	NA	NA	EU580905	NA	NA
Solanales	Duckeodendron cestroides	1	NA	NA	NA	AY206743	NA	NA
Solanales	Atropa komarovii	1	NA	NA	NA	HQ216082	NA	NA
Solanales	Jaborosa integrifolia	1	NA	NA	NA	EU580896	NA	NA
Solanales	Cestrum fragile	1	NA	JQ589572	NA	NA	NA	NA
Solanales	Cestrum parqui	1	NA	EF439054	NA	NA	NA	NA
Solanales	Cestrum glanduliferum	1	NA	JQ589214	NA	NA	NA	NA
Solanales	Iochroma fuchsioides	1	NA	NA	NA	EU580894	NA	NA
Solanales	Solanum lyratum	1	NA	JF956491	NA	NA	NA	NA
Solanales	Solanum pubescens	1	NA	JX511979	NA	NA	NA	NA
Solanales	Solanum fraxinifolium	1	NA	NA	NA	AF500810	NA	NA
Solanales	Solanum marginatum	1	NA	EF439062	NA	NA	NA	NA
Solanales	Solanum dasyphyllum	1	NA	EF439020	NA	NA	NA	NA
Solanales	Physochlaina praealta	1	NA	NA	NA	HQ216107	NA	NA
Solanales	Petunia scheideana	1	NA	AB262070	NA	NA	NA	NA
Solanales	Petunia secreta	1	NA	NA	NA	NA	AY772831	NA
Solanales	Petunia exserta	1	NA	AB262058	NA	NA	NA	NA
Solanales	Schizanthus hookeri	1	NA	EF439052	NA	NA	NA	NA
Solanales	Calibrachoa sellowiana	1	NA	NA	NA	NA	AY772832	NA
Solanales	Lycium deserti	1	NA	NA	NA	EU742305	NA	NA
Solanales	Cuscuta lupuliformis	1	NA	EU330284	NA	NA	NA	NA
Solanales	Cuscuta nitida	1	NA	EU330280	NA	NA	NA	NA
Solanales	Nolana mollis	1	NA	NA	NA	EU742344	NA	NA
Solanales	Nolana coronata	1	NA	NA	NA	FJ914018	NA	NA
Solanales	Nolana tocopillensis	1	NA	NA	NA	EU742364	NA	NA
Solanales	Nolana villosa	1	NA	NA	NA	EU742367	NA	NA
Solanales	Nolana ivaniana	1	NA	NA	NA	EU742336	NA	NA
Solanales	Nolana flaccida	1	NA	NA	NA	EU742328	NA	NA
Solanales	Brugmansia arborea	1	NA	GQ434219	NA	NA	NA	NA
Solanales	Bouchetia anomala	1	NA	NA	NA	NA	AY772833	NA
